,avg_price,avg_price_5ma,avg_price_10ma,avg_price_30ma,avg_price_60ma,avg_price_100ma,avg_price_180ma,avg_price_360ma,price_chg,price_chg_5sum,price_chg_10sum,price_chg_30sum,action,pur_price,state,sample_id
79,150.85272827148438,149.1599786376953,148.17908264160155,150.03356567382812,149.12948944091795,148.60208203125,146.4955623541938,143.29079742855498,0.7589603743714646,2.9091199591652184,1.0930822566588616,2.595809083637687,0.0,,148.35477828979492,2
80,150.89818420410157,149.8890185546875,148.63603790283202,150.11344370524088,149.11122034708657,148.6738950805664,146.57963180541992,143.32386989593505,0.030132655297676614,2.4595717181445154,3.1108123451822456,1.6780882343668004,0.0,,148.35477828979492,2
81,151.44558410644532,150.591328125,149.16195251464845,150.1447080485026,149.09127014160157,148.75817562866212,146.6599951341417,143.35766501956516,0.36276109300517057,2.3598283413736154,3.5707475878864803,0.6901519199734887,0.0,,148.35477828979492,2
82,150.85075988769532,150.75273925781252,149.41158966064455,150.14635111490887,149.06308939615886,148.85334112548827,146.7334292772081,143.39252150217692,-0.39276432010848517,0.5409770826818261,1.6949794616199276,0.10217222079350297,0.0,,148.35477828979492,2
83,151.65360412597656,151.14017211914063,149.71980377197264,150.17110707600912,149.03770228068032,148.9535341491699,146.80836685180662,143.42828382280138,0.5322109340907044,1.291300736656531,2.0808687484297317,0.5617993803437606,0.0,,148.35477828979492,2
84,151.647998046875,151.29922607421878,150.22960235595704,150.2052399698893,149.0126840718587,149.0702402648926,146.87846522013348,143.46344290415445,-0.0036966342698452337,0.5286437280152212,3.4377636871804396,0.7482242113972606,0.0,,148.35477828979492,2
85,151.4203887939453,151.40366699218748,150.64634277343748,150.195171101888,148.99222376505534,149.18899124145508,146.94744859483507,143.49863831837973,-0.150090509509615,0.3484205632079296,2.807992281352445,-0.13112824947211532,0.0,,148.35477828979492,2
86,152.01419677734376,151.5173895263672,151.05435882568358,150.17318939208982,148.9962228902181,149.29105499267578,147.0275284322103,143.53290879567462,0.3921585383105164,0.3778180085132754,2.737646349886891,-0.36589948127733507,0.0,,148.35477828979492,2
87,152.31502380371094,151.8102423095703,151.28149078369142,150.1604047648112,149.023459370931,149.3804619140625,147.11008561876088,143.56836611853706,0.19789403407355355,0.9684763626953141,1.5094534453771402,-0.184324275695805,0.0,,148.35477828979492,2
88,153.50418090820312,152.18035766601562,151.6602648925781,150.22453816731772,149.10222442626954,149.4734955444336,147.19522855970595,143.60818208906386,0.780722134163625,1.2169875627682347,2.5082882994247657,1.328810639477759,0.0,,148.35477828979492,2
